model,cv_r2_mean,cv_r2_std,cv_rmse_mean,cv_rmse_std
Ridge,-848411228205.3679,1696688723632.8242,2888797943.066859,5719096485.119515
RandomForestRegressor,0.5991945597853442,0.0960351501331935,4078.3356133799216,1820.8527764238122
ExtraTreesRegressor,0.604237838740451,0.14956209635168954,4107.0074926993175,2035.2583602572747
HistGradientBoostingRegressor,0.7667342707105818,0.12011496472966926,3167.5505174040263,1790.0082776377512
