model,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_roc_auc_mean,cv_roc_auc_std
LogisticRegression,0.9880044341317984,0.0024748423162806368,0.9879364723410337,0.0025162262791009276,0.9991852107785189,0.0002761504661284137
SVM,0.9764373632981493,0.0050141799210338175,0.9761884926488126,0.005171206535685075,0.9973455102207851,0.000833681035298407
RandomForest,0.9644411089001654,0.006842965649615651,0.9640926263695928,0.007011878411616177,0.9954479022493021,0.0010401111225349336
